Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55156 connected to 10.0.0.2 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.09   sec  84.8 KBytes   639 Kbits/sec    2   14.1 KBytes       
[ 24]   1.09-2.09   sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[ 24]   2.09-3.09   sec  99.0 KBytes   809 Kbits/sec    0   56.6 KBytes       
[ 24]   3.09-4.09   sec   262 KBytes  2.14 Mbits/sec    1   83.4 KBytes       
[ 24]   4.09-5.09   sec  0.00 Bytes  0.00 bits/sec    0   83.4 KBytes       
[ 24]   5.09-6.00   sec   255 KBytes  2.30 Mbits/sec    2   84.8 KBytes       
[ 24]   6.00-7.00   sec   127 KBytes  1.04 Mbits/sec    0   86.3 KBytes       
[ 24]   7.00-8.00   sec   133 KBytes  1.09 Mbits/sec    0   91.9 KBytes       
[ 24]   8.00-9.10   sec   255 KBytes  1.90 Mbits/sec    0    107 KBytes       
[ 24]   9.10-10.00  sec   191 KBytes  1.73 Mbits/sec    0    130 KBytes       
[ 24]  10.00-11.00  sec   445 KBytes  3.65 Mbits/sec    0    163 KBytes       
[ 24]  11.00-12.00  sec   573 KBytes  4.69 Mbits/sec    0    239 KBytes       
[ 24]  12.00-13.00  sec   382 KBytes  3.13 Mbits/sec    0    291 KBytes       
[ 24]  13.00-14.00  sec  1018 KBytes  8.34 Mbits/sec    0    431 KBytes       
[ 24]  14.00-15.00  sec  1.12 MBytes  9.39 Mbits/sec    0    551 KBytes       
[ 24]  15.00-16.00  sec   700 KBytes  5.73 Mbits/sec    0    690 KBytes       
[ 24]  16.00-17.00  sec  1.74 MBytes  14.6 Mbits/sec    0    930 KBytes       
[ 24]  17.00-18.00  sec  2.17 MBytes  18.2 Mbits/sec    0   1.10 MBytes       
[ 24]  18.00-19.13  sec  1.25 MBytes  9.29 Mbits/sec    0   1.35 MBytes       
[ 24]  19.13-20.00  sec  2.50 MBytes  24.1 Mbits/sec    0   1.65 MBytes       
[ 24]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec  134   1.41 MBytes       
[ 24]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec   51   1.29 MBytes       
[ 24]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   1.06 MBytes       
[ 24]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec    0    901 KBytes       
[ 24]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec    0    700 KBytes       
[ 24]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec    0    655 KBytes       
[ 24]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec   41    723 KBytes       
[ 24]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   60    703 KBytes       
[ 24]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   34    687 KBytes       
[ 24]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0    611 KBytes       
[ 24]  30.00-31.01  sec  0.00 Bytes  0.00 bits/sec    4    342 KBytes       
[ 24]  31.01-32.00  sec  0.00 Bytes  0.00 bits/sec   31    274 KBytes       
[ 24]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec   47   1.18 MBytes       
[ 24]  33.00-34.00  sec  3.75 MBytes  31.5 Mbits/sec    0    949 KBytes       
[ 24]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   33    355 KBytes       
[ 24]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec  208    701 KBytes       
[ 24]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec   11    713 KBytes       
[ 24]  37.00-38.14  sec  1.25 MBytes  9.22 Mbits/sec    0    716 KBytes       
[ 24]  38.14-39.00  sec  1.25 MBytes  12.1 Mbits/sec    0    724 KBytes       
