Connecting to host 10.0.0.1, port 5566
[ 24] local 10.0.0.3 port 57636 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  84.8 KBytes   693 Kbits/sec    0   14.1 KBytes       
[ 24]   1.00-2.00   sec   404 KBytes  3.32 Mbits/sec    0    139 KBytes       
[ 24]   2.00-3.00   sec  2.86 MBytes  24.0 Mbits/sec    0   1.06 MBytes       
[ 24]   3.00-4.00   sec  15.0 MBytes   126 Mbits/sec    2   7.31 MBytes       
[ 24]   4.00-5.00   sec  8.75 MBytes  73.5 Mbits/sec    0   16.0 MBytes       
[ 24]   5.00-6.00   sec  11.2 MBytes  94.3 Mbits/sec    0   16.0 MBytes       
[ 24]   6.00-7.01   sec  12.5 MBytes   104 Mbits/sec    0   16.0 MBytes       
[ 24]   7.01-8.00   sec  7.50 MBytes  63.3 Mbits/sec    0   16.0 MBytes       
[ 24]   8.00-9.00   sec  10.0 MBytes  83.9 Mbits/sec    0   16.0 MBytes       
[ 24]   9.00-10.00  sec  7.50 MBytes  62.9 Mbits/sec    0   16.0 MBytes       
[ 24]  10.00-11.00  sec  10.0 MBytes  83.9 Mbits/sec    0   16.0 MBytes       
[ 24]  11.00-12.00  sec  8.75 MBytes  73.4 Mbits/sec    0   16.0 MBytes       
[ 24]  12.00-13.03  sec  8.75 MBytes  71.3 Mbits/sec    0   16.0 MBytes       
[ 24]  13.03-14.00  sec  11.2 MBytes  97.3 Mbits/sec    0   16.0 MBytes       
[ 24]  14.00-15.00  sec  11.2 MBytes  94.4 Mbits/sec    0   16.0 MBytes       
[ 24]  15.00-16.03  sec  15.0 MBytes   122 Mbits/sec    0   16.0 MBytes       
[ 24]  16.03-17.00  sec  6.25 MBytes  54.1 Mbits/sec    0   16.0 MBytes       
[ 24]  17.00-18.00  sec  8.75 MBytes  73.4 Mbits/sec    0   16.0 MBytes       
[ 24]  18.00-19.00  sec  11.2 MBytes  94.2 Mbits/sec    0   16.0 MBytes       
[ 24]  19.00-20.00  sec  10.0 MBytes  84.0 Mbits/sec    0   16.0 MBytes       
[ 24]  20.00-21.00  sec  5.00 MBytes  42.0 Mbits/sec    0   16.0 MBytes       
[ 24]  21.00-22.00  sec  8.75 MBytes  73.5 Mbits/sec    0   16.0 MBytes       
[ 24]  22.00-23.00  sec  12.5 MBytes   105 Mbits/sec    0   16.0 MBytes       
[ 24]  23.00-24.00  sec  10.0 MBytes  83.9 Mbits/sec    0   16.0 MBytes       
[ 24]  24.00-25.03  sec  8.75 MBytes  71.3 Mbits/sec    0   16.0 MBytes       
[ 24]  25.03-26.00  sec  2.50 MBytes  21.6 Mbits/sec    0   16.0 MBytes       
[ 24]  26.00-27.00  sec  10.0 MBytes  83.9 Mbits/sec    0   16.0 MBytes       
[ 24]  27.00-28.00  sec  1.25 MBytes  10.5 Mbits/sec    0   16.0 MBytes       
[ 24]  28.00-29.00  sec  3.75 MBytes  31.5 Mbits/sec    0   16.0 MBytes       
[ 24]  29.00-30.00  sec  20.0 MBytes   168 Mbits/sec    0   16.0 MBytes       
[ 24]  30.00-31.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  31.00-32.00  sec  15.0 MBytes   126 Mbits/sec    0   16.0 MBytes       
[ 24]  32.00-33.00  sec  5.00 MBytes  41.9 Mbits/sec    0   16.0 MBytes       
[ 24]  33.00-34.00  sec  5.00 MBytes  42.0 Mbits/sec    0   16.0 MBytes       
[ 24]  34.00-35.00  sec  13.8 MBytes   115 Mbits/sec    0   16.0 MBytes       
[ 24]  35.00-36.00  sec  11.2 MBytes  94.4 Mbits/sec    0   16.0 MBytes       
[ 24]  36.00-37.00  sec  21.2 MBytes   178 Mbits/sec    0   16.0 MBytes       
[ 24]  37.00-38.00  sec  15.0 MBytes   126 Mbits/sec    0   16.0 MBytes       
[ 24]  38.00-39.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  39.00-40.00  sec  7.50 MBytes  62.9 Mbits/sec    0   16.0 MBytes       
[ 24]  40.00-41.00  sec  3.75 MBytes  31.5 Mbits/sec    0   16.0 MBytes       
[ 24]  41.00-42.00  sec  5.00 MBytes  42.0 Mbits/sec    0   16.0 MBytes       
[ 24]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0   16.0 MBytes       
[ 24]  43.00-44.03  sec  7.50 MBytes  61.2 Mbits/sec    0   16.0 MBytes       
[ 24]  44.03-45.00  sec  6.25 MBytes  54.0 Mbits/sec    0   16.0 MBytes       
[ 24]  45.00-46.00  sec  13.8 MBytes   115 Mbits/sec    0   16.0 MBytes       
[ 24]  46.00-47.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  47.00-48.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  48.00-49.02  sec  16.2 MBytes   134 Mbits/sec    0   16.0 MBytes       
[ 24]  49.02-50.03  sec  3.75 MBytes  31.2 Mbits/sec    0   16.0 MBytes       
[ 24]  50.03-51.00  sec  17.5 MBytes   151 Mbits/sec    0   16.0 MBytes       
[ 24]  51.00-52.00  sec  5.00 MBytes  42.0 Mbits/sec    0   16.0 MBytes       
[ 24]  52.00-53.00  sec  6.25 MBytes  52.4 Mbits/sec    0   16.0 MBytes       
[ 24]  53.00-54.00  sec  12.5 MBytes   105 Mbits/sec    0   16.0 MBytes       
[ 24]  54.00-55.00  sec  6.25 MBytes  52.5 Mbits/sec    0   16.0 MBytes       
[ 24]  55.00-56.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[ 24]  56.00-57.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  57.00-58.00  sec  23.8 MBytes   199 Mbits/sec    0   16.0 MBytes       
[ 24]  58.00-59.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[ 24]  59.00-60.00  sec  5.00 MBytes  41.9 Mbits/sec    0   16.0 MBytes       
[ 24]  60.00-61.00  sec  3.75 MBytes  31.5 Mbits/sec    0   16.0 MBytes       
[ 24]  61.00-62.00  sec  12.5 MBytes   105 Mbits/sec    0   16.0 MBytes       
[ 24]  62.00-63.00  sec  3.75 MBytes  31.5 Mbits/sec    0   16.0 MBytes       
[ 24]  63.00-64.00  sec  7.50 MBytes  63.0 Mbits/sec    0   16.0 MBytes       
[ 24]  64.00-65.00  sec  13.8 MBytes   115 Mbits/sec    0   16.0 MBytes       
[ 24]  65.00-66.00  sec  15.0 MBytes   126 Mbits/sec    0   16.0 MBytes       
[ 24]  66.00-67.00  sec  2.50 MBytes  21.0 Mbits/sec    0   16.0 MBytes       
[ 24]  67.00-68.00  sec  3.75 MBytes  31.4 Mbits/sec    0   16.0 MBytes       
[ 24]  68.00-69.00  sec  13.8 MBytes   115 Mbits/sec    0   16.0 MBytes       
[ 24]  69.00-70.00  sec  21.2 MBytes   178 Mbits/sec    0   16.0 MBytes       
[ 24]  70.00-71.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  71.00-72.00  sec  23.8 MBytes   199 Mbits/sec    0   16.0 MBytes       
[ 24]  72.00-73.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  73.00-74.00  sec  23.8 MBytes   199 Mbits/sec    0   16.0 MBytes       
[ 24]  74.00-75.00  sec  10.0 MBytes  83.9 Mbits/sec    0   16.0 MBytes       
[ 24]  75.00-76.00  sec  11.2 MBytes  94.4 Mbits/sec    0   16.0 MBytes       
[ 24]  76.00-77.00  sec  21.2 MBytes   178 Mbits/sec    0   16.0 MBytes       
[ 24]  77.00-78.00  sec  20.0 MBytes   168 Mbits/sec    0   16.0 MBytes       
[ 24]  78.00-79.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  79.00-80.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  80.00-81.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  81.00-82.00  sec  23.8 MBytes   199 Mbits/sec    0   16.0 MBytes       
[ 24]  82.00-83.00  sec  15.0 MBytes   126 Mbits/sec    0   16.0 MBytes       
[ 24]  83.00-84.00  sec  6.25 MBytes  52.4 Mbits/sec    0   16.0 MBytes       
[ 24]  84.00-85.00  sec  10.0 MBytes  83.9 Mbits/sec    0   16.0 MBytes       
[ 24]  85.00-86.00  sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[ 24]  86.00-87.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  87.00-88.00  sec  23.8 MBytes   199 Mbits/sec    0   16.0 MBytes       
[ 24]  88.00-89.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  89.00-90.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  90.00-91.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  91.00-92.00  sec  17.5 MBytes   147 Mbits/sec    0   16.0 MBytes       
[ 24]  92.00-93.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  93.00-94.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  94.00-95.00  sec  23.8 MBytes   199 Mbits/sec    0   16.0 MBytes       
[ 24]  95.00-96.00  sec  23.8 MBytes   199 Mbits/sec    0   16.0 MBytes       
[ 24]  96.00-97.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  97.00-98.00  sec  22.5 MBytes   189 Mbits/sec    0   16.0 MBytes       
[ 24]  98.00-99.03  sec  23.8 MBytes   193 Mbits/sec    0   16.0 MBytes       
[ 24]  99.03-100.00 sec  6.25 MBytes  54.1 Mbits/sec    0   16.0 MBytes       
[ 24] 100.00-101.00 sec  5.00 MBytes  42.0 Mbits/sec    0   16.0 MBytes       
[ 24] 101.00-102.00 sec  16.2 MBytes   136 Mbits/sec    0   16.0 MBytes       
[ 24] 102.00-103.00 sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[ 24] 103.00-104.00 sec  18.8 MBytes   157 Mbits/sec    0   16.0 MBytes       
[ 24] 104.00-105.00 sec  12.5 MBytes   105 Mbits/sec    0   16.0 MBytes       
