Connecting to host 10.0.0.1, port 5566
[ 24] local 10.0.0.3 port 57662 connected to 10.0.0.1 port 5566
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[ 24]   0.00-1.00   sec  84.8 KBytes   694 Kbits/sec    1   14.1 KBytes       
[ 24]   1.00-2.00   sec  18.8 MBytes   158 Mbits/sec  1033   1.41 MBytes       
[ 24]   2.00-3.00   sec  17.5 MBytes   147 Mbits/sec  305    888 KBytes       
[ 24]   3.00-4.00   sec  15.0 MBytes   126 Mbits/sec    0    885 KBytes       
[ 24]   4.00-5.00   sec  15.0 MBytes   126 Mbits/sec    0    888 KBytes       
[ 24]   5.00-6.00   sec  11.2 MBytes  94.3 Mbits/sec    0    880 KBytes       
[ 24]   6.00-7.00   sec  10.0 MBytes  83.9 Mbits/sec    0    870 KBytes       
[ 24]   7.00-8.00   sec  12.5 MBytes   105 Mbits/sec    0    848 KBytes       
[ 24]   8.00-9.00   sec  7.50 MBytes  63.0 Mbits/sec   36    419 KBytes       
[ 24]   9.00-10.00  sec  7.50 MBytes  63.0 Mbits/sec    0    424 KBytes       
[ 24]  10.00-11.00  sec  5.00 MBytes  42.0 Mbits/sec    0    417 KBytes       
[ 24]  11.00-12.00  sec  3.75 MBytes  31.4 Mbits/sec    0    410 KBytes       
[ 24]  12.00-13.00  sec  7.50 MBytes  62.9 Mbits/sec    0    414 KBytes       
[ 24]  13.00-14.00  sec  6.25 MBytes  52.3 Mbits/sec    0    413 KBytes       
[ 24]  14.00-15.00  sec  6.25 MBytes  52.6 Mbits/sec    0    411 KBytes       
[ 24]  15.00-16.00  sec  2.50 MBytes  21.0 Mbits/sec    0    403 KBytes       
[ 24]  16.00-17.00  sec  5.00 MBytes  41.9 Mbits/sec    0    399 KBytes       
[ 24]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    0    397 KBytes       
[ 24]  18.00-19.00  sec  5.00 MBytes  41.9 Mbits/sec    0    402 KBytes       
[ 24]  19.00-20.00  sec  8.75 MBytes  73.4 Mbits/sec    0    410 KBytes       
[ 24]  20.00-21.00  sec  7.50 MBytes  62.9 Mbits/sec    0    413 KBytes       
[ 24]  21.00-22.00  sec  7.50 MBytes  62.9 Mbits/sec    0    421 KBytes       
[ 24]  22.00-23.00  sec  6.25 MBytes  52.4 Mbits/sec    0    417 KBytes       
[ 24]  23.00-24.00  sec  6.25 MBytes  52.5 Mbits/sec    0    414 KBytes       
[ 24]  24.00-25.00  sec  5.00 MBytes  41.8 Mbits/sec    0    411 KBytes       
[ 24]  25.00-26.00  sec  1.25 MBytes  10.5 Mbits/sec    8    283 KBytes       
[ 24]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec   10    100 KBytes       
[ 24]  27.00-28.00  sec  2.50 MBytes  21.0 Mbits/sec    0   96.2 KBytes       
[ 24]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    0    105 KBytes       
[ 24]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0    112 KBytes       
[ 24]  30.00-31.00  sec  2.50 MBytes  21.0 Mbits/sec    0    120 KBytes       
[ 24]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0    123 KBytes       
[ 24]  32.00-33.01  sec  1.25 MBytes  10.4 Mbits/sec    0    119 KBytes       
[ 24]  33.01-34.00  sec  2.50 MBytes  21.1 Mbits/sec    0    130 KBytes       
[ 24]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0    132 KBytes       
[ 24]  35.00-36.00  sec  2.50 MBytes  21.0 Mbits/sec    0    134 KBytes       
[ 24]  36.00-37.01  sec  2.50 MBytes  20.7 Mbits/sec    0    143 KBytes       
[ 24]  37.01-38.00  sec  2.50 MBytes  21.2 Mbits/sec    0    147 KBytes       
[ 24]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0    154 KBytes       
[ 24]  39.00-40.00  sec  2.50 MBytes  20.9 Mbits/sec    0    158 KBytes       
[ 24]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0    150 KBytes       
[ 24]  41.00-42.00  sec  2.50 MBytes  21.0 Mbits/sec    0    153 KBytes       
[ 24]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0    165 KBytes       
[ 24]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    173 KBytes       
[ 24]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0    174 KBytes       
[ 24]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0    171 KBytes       
[ 24]  46.00-47.00  sec  3.75 MBytes  31.5 Mbits/sec    0    173 KBytes       
[ 24]  47.00-48.00  sec  2.50 MBytes  21.0 Mbits/sec    0    184 KBytes       
[ 24]  48.00-49.02  sec  1.25 MBytes  10.3 Mbits/sec    0    184 KBytes       
[ 24]  49.02-50.00  sec  2.50 MBytes  21.3 Mbits/sec    0    184 KBytes       
[ 24]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0    181 KBytes       
[ 24]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec    0    182 KBytes       
[ 24]  52.00-53.00  sec  2.50 MBytes  21.0 Mbits/sec    0    181 KBytes       
[ 24]  53.00-54.00  sec  2.50 MBytes  21.0 Mbits/sec    0    180 KBytes       
[ 24]  54.00-55.00  sec  2.50 MBytes  21.0 Mbits/sec    0    175 KBytes       
[ 24]  55.00-56.00  sec  1.25 MBytes  10.5 Mbits/sec    0    177 KBytes       
[ 24]  56.00-57.00  sec  2.50 MBytes  21.0 Mbits/sec    0    177 KBytes       
[ 24]  57.00-58.03  sec  2.50 MBytes  20.4 Mbits/sec    0    178 KBytes       
[ 24]  58.03-59.03  sec  2.50 MBytes  20.9 Mbits/sec    0    177 KBytes       
[ 24]  59.03-60.00  sec  2.50 MBytes  21.6 Mbits/sec    0    174 KBytes       
[ 24]  60.00-61.00  sec  3.75 MBytes  31.4 Mbits/sec    0    177 KBytes       
[ 24]  61.00-62.01  sec  1.25 MBytes  10.4 Mbits/sec    0    180 KBytes       
[ 24]  62.01-63.00  sec  1.25 MBytes  10.5 Mbits/sec    0    177 KBytes       
[ 24]  63.00-64.00  sec  3.75 MBytes  31.5 Mbits/sec    0    180 KBytes       
[ 24]  64.00-65.00  sec  2.50 MBytes  21.0 Mbits/sec    0    187 KBytes       
[ 24]  65.00-66.00  sec  2.50 MBytes  21.0 Mbits/sec    0    184 KBytes       
[ 24]  66.00-67.00  sec  3.75 MBytes  31.4 Mbits/sec    0    180 KBytes       
[ 24]  67.00-68.00  sec  2.50 MBytes  21.0 Mbits/sec    0    184 KBytes       
[ 24]  68.00-69.00  sec  2.50 MBytes  21.0 Mbits/sec    0    188 KBytes       
[ 24]  69.00-70.00  sec  2.50 MBytes  21.0 Mbits/sec    0    192 KBytes       
[ 24]  70.00-71.00  sec  3.75 MBytes  31.5 Mbits/sec    0    195 KBytes       
[ 24]  71.00-72.00  sec  2.50 MBytes  21.0 Mbits/sec    0    198 KBytes       
[ 24]  72.00-73.00  sec  3.75 MBytes  31.5 Mbits/sec    0    205 KBytes       
[ 24]  73.00-74.00  sec  2.50 MBytes  21.0 Mbits/sec    0    197 KBytes       
[ 24]  74.00-75.00  sec  2.50 MBytes  21.0 Mbits/sec    0    189 KBytes       
[ 24]  75.00-76.00  sec  2.50 MBytes  21.0 Mbits/sec    0    177 KBytes       
[ 24]  76.00-77.00  sec  1.25 MBytes  10.5 Mbits/sec    0    168 KBytes       
[ 24]  77.00-78.00  sec  2.50 MBytes  21.0 Mbits/sec    0    164 KBytes       
[ 24]  78.00-79.00  sec  2.50 MBytes  21.0 Mbits/sec    0    158 KBytes       
[ 24]  79.00-80.01  sec  2.50 MBytes  20.9 Mbits/sec    0    150 KBytes       
[ 24]  80.01-81.00  sec  2.50 MBytes  21.1 Mbits/sec    0    148 KBytes       
[ 24]  81.00-82.00  sec  1.25 MBytes  10.5 Mbits/sec    0    144 KBytes       
[ 24]  82.00-83.00  sec  1.25 MBytes  10.5 Mbits/sec    0    137 KBytes       
[ 24]  83.00-84.00  sec  2.50 MBytes  21.0 Mbits/sec    0    136 KBytes       
[ 24]  84.00-85.00  sec  1.25 MBytes  10.5 Mbits/sec    0    132 KBytes       
[ 24]  85.00-86.00  sec  2.50 MBytes  21.0 Mbits/sec    0    124 KBytes       
[ 24]  86.00-87.00  sec  1.25 MBytes  10.5 Mbits/sec    0    119 KBytes       
[ 24]  87.00-88.00  sec  2.50 MBytes  21.0 Mbits/sec    0    116 KBytes       
[ 24]  88.00-89.00  sec  1.25 MBytes  10.5 Mbits/sec    0    107 KBytes       
[ 24]  89.00-90.00  sec  1.25 MBytes  10.5 Mbits/sec    0    105 KBytes       
[ 24]  90.00-91.00  sec  1.25 MBytes  10.5 Mbits/sec    0    103 KBytes       
[ 24]  91.00-92.00  sec  1.25 MBytes  10.5 Mbits/sec    0   99.0 KBytes       
[ 24]  92.00-93.01  sec  2.50 MBytes  20.8 Mbits/sec    0   96.2 KBytes       
[ 24]  93.01-94.00  sec  1.25 MBytes  10.6 Mbits/sec    0   96.2 KBytes       
[ 24]  94.00-95.00  sec  1.25 MBytes  10.5 Mbits/sec    0   96.2 KBytes       
[ 24]  95.00-96.00  sec  1.25 MBytes  10.5 Mbits/sec    0   94.7 KBytes       
[ 24]  96.00-97.00  sec  1.25 MBytes  10.5 Mbits/sec    0   91.9 KBytes       
[ 24]  97.00-98.00  sec  2.50 MBytes  21.0 Mbits/sec    0   97.6 KBytes       
[ 24]  98.00-99.00  sec  1.25 MBytes  10.5 Mbits/sec    0   97.6 KBytes       
[ 24]  99.00-100.05 sec  1.25 MBytes  10.0 Mbits/sec    0   94.7 KBytes       
[ 24] 100.05-101.00 sec  1.25 MBytes  11.0 Mbits/sec    0   86.3 KBytes       
[ 24] 101.00-102.00 sec  1.25 MBytes  10.5 Mbits/sec    0   79.2 KBytes       
[ 24] 102.00-103.00 sec  1.25 MBytes  10.5 Mbits/sec    0   72.1 KBytes       
