Connecting to host 10.0.0.2, port 5566
[  7] local 10.0.0.4 port 33742 connected to 10.0.0.2 port 5566
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec   863 KBytes  7.04 Mbits/sec    0   79.2 KBytes       
[  7]   1.00-2.00   sec   191 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  7]   2.00-3.01   sec   382 KBytes  3.10 Mbits/sec    0   79.2 KBytes       
[  7]   3.01-4.01   sec   191 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  7]   4.01-5.00   sec   382 KBytes  3.15 Mbits/sec    0   79.2 KBytes       
[  7]   5.00-6.00   sec   382 KBytes  3.11 Mbits/sec    0   79.2 KBytes       
[  7]   6.00-7.00   sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]   7.00-8.00   sec   382 KBytes  3.12 Mbits/sec    0   79.2 KBytes       
[  7]   8.00-9.00   sec   191 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  7]   9.00-10.01  sec   382 KBytes  3.12 Mbits/sec    0   79.2 KBytes       
[  7]  10.01-11.01  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  11.01-12.00  sec   382 KBytes  3.14 Mbits/sec    0   79.2 KBytes       
[  7]  12.00-13.01  sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  7]  13.01-14.00  sec   382 KBytes  3.15 Mbits/sec    0   79.2 KBytes       
[  7]  14.00-15.00  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  15.00-16.00  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  16.00-17.01  sec   382 KBytes  3.10 Mbits/sec    0   79.2 KBytes       
[  7]  17.01-18.00  sec   191 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  7]  18.00-19.00  sec   382 KBytes  3.12 Mbits/sec    0   79.2 KBytes       
[  7]  19.00-20.00  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  20.00-21.00  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  21.00-22.00  sec   382 KBytes  3.14 Mbits/sec    0   79.2 KBytes       
[  7]  22.00-23.00  sec   382 KBytes  3.12 Mbits/sec    0   79.2 KBytes       
[  7]  23.00-24.01  sec   382 KBytes  3.12 Mbits/sec    0   79.2 KBytes       
[  7]  24.01-25.01  sec   382 KBytes  3.12 Mbits/sec    0   79.2 KBytes       
[  7]  25.01-26.01  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  26.01-27.01  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  27.01-28.00  sec   382 KBytes  3.14 Mbits/sec    0   79.2 KBytes       
[  7]  28.00-29.00  sec   191 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  7]  29.00-30.01  sec   382 KBytes  3.11 Mbits/sec    0   79.2 KBytes       
[  7]  30.01-31.01  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  31.01-32.01  sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  7]  32.01-33.00  sec   573 KBytes  4.73 Mbits/sec    0   79.2 KBytes       
[  7]  33.00-34.01  sec   382 KBytes  3.11 Mbits/sec    0   79.2 KBytes       
[  7]  34.01-35.00  sec   382 KBytes  3.15 Mbits/sec    0   79.2 KBytes       
[  7]  35.00-36.00  sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  7]  36.00-37.00  sec   382 KBytes  3.12 Mbits/sec    0   79.2 KBytes       
[  7]  37.00-38.01  sec   382 KBytes  3.11 Mbits/sec    0   79.2 KBytes       
[  7]  38.01-39.01  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  39.01-40.01  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  40.01-41.01  sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  7]  41.01-42.00  sec   191 KBytes  1.58 Mbits/sec    0   79.2 KBytes       
[  7]  42.00-43.00  sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  7]  43.00-44.01  sec   191 KBytes  1.55 Mbits/sec    0   79.2 KBytes       
[  7]  44.01-45.00  sec   191 KBytes  1.57 Mbits/sec    0   79.2 KBytes       
[  7]  45.00-46.00  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  46.00-47.01  sec   382 KBytes  3.12 Mbits/sec    0   79.2 KBytes       
[  7]  47.01-48.01  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  48.01-49.00  sec   382 KBytes  3.14 Mbits/sec    0   79.2 KBytes       
[  7]  49.00-50.00  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  50.00-51.00  sec   191 KBytes  1.56 Mbits/sec    0   79.2 KBytes       
[  7]  51.00-52.00  sec   382 KBytes  3.12 Mbits/sec    0   79.2 KBytes       
[  7]  52.00-53.00  sec   382 KBytes  3.14 Mbits/sec    0   79.2 KBytes       
[  7]  53.00-54.00  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
[  7]  54.00-55.00  sec   382 KBytes  3.11 Mbits/sec    0   79.2 KBytes       
[  7]  55.00-56.00  sec   382 KBytes  3.14 Mbits/sec    0   79.2 KBytes       
[  7]  56.00-57.00  sec   382 KBytes  3.13 Mbits/sec    0   79.2 KBytes       
